codigo,nombre,precio,categoria
"RD051-18","Dije resina Corazón alargado amarillo y fucsia 25x51mm x unid","6000","Amor y relaciones"
"RD0778D","Dije chunky covergold lagrima dorado 12x18mm / x unidad / Ref-RD0778D / Ref-RD0778D","7000","Dijes cover gold"
"RD0791D","Dije rodinado corazón con circón plateado","5000","Amor y relaciones"
"RM0010D","Medalla rodinada ovalada san benito","7000","Medallas |"
"RM0007D","Medalla rodinado san benito","6500","Medallas |"
"RM0006D","Medalla covergold virgen de guadalupe 10x16mm x und","4500","Medallas |"
"RD0818D","Dije rodinado san judas tadeo","3000","Dijes cover gold"
"RD0822D","Dije rodinado llave circón plateado","2500","Dijes rodinados"
"RD0823D","Dije rodinado corazón love","3200","Amor y relaciones"
"RD0816D","Dije rodinado corazón ojo turco 11x13mm x und","4200","Dijes rodinados"
"ZD0901D","Dije zamak corazón ojo rayas 15x16mm x 2 unds","2800","Amor y relaciones"
"ZD0908D","Dije zamak corazón 20x22mm x und","3700","Amor y relaciones"
"ZD0936D","Dije zamak corazón resina negra 20x22mm x und","3700","Amor y relaciones"
"ZD0925D","Dije zamak sagrado corazón ojo resina negra 25x27mm x und","5000","Dijes"
"ZD0928D","Dije zamak sagrado corazón resina blanca 14x22mm x und","3300","Dijes"
"ZD0935D","Dije zamak sagrado corazón resina blanca 12x18mm x und","2800","Dijes"
"ZD0940D","Dije zamak sagrado corazón resina negra 12x18mmx und","2800","Dijes de zamak"
"RD0773D","Dije rodinado corazón infinito rosa","6400","Dijes rodinados"
"RD0786D","Dije rodinado silueta corazón circón plateado","4500","Dijes rodinados"
"ZD0902D","Dije zamak corazón flecha Love 14x12mm paquete x 3 unds","3900","Dijes"
"ZD0307D","Dije zamak media luna estrella 19x10mm x 3 unds","3900","Dijes"
"ZD0716D","Dije zamak libélula 16x19mm x 2 unids","2400","Dijes"
"ZD0905D","Dije zamak Sol 13x7.5mm x 2 und","2800","Dijes"
"RD0785D","Dije rodinado corazón alas circón fucsia","8500","Dijes rodinados"
"RD0787D","Dije rodinado corazón circón plateado","7000","Amor y relaciones"
"ZD0904D","Dije Zamak pies 13x10 mm x 2 und","2400","Dijes"
"ZD0942N","Dije zamak llave san benito 52x24mm x und","2000","Dijes de zamak"
"ZD0957N","Dije zamak corazón con alas resina roja 40x36.5mm x und","3000","Dijes"
"ZD0950N","Dije zamak sagrado corazón resina roja 37x22mm x und","3000","Dijes de zamak"
"ZD0961N","Dije zamak corazón resina roja silueta 34x28mm","3000","Amor y relaciones"
"RD0861D","Dije rodinado corazón nácar alas circón plateado","7500","Dijes rodinados"
"RD0867D","Dije rodinado corazón nácar con perlas","10500","Amor y relaciones"
"RD0860D","Dije rodinado corazón nácar 23x21mm x und","7500","Amor y relaciones"
"RD0862D","Dije rodinado corazón nácar destellos 21x22.5mm x und","8500","Amor y relaciones"
"RD0868D","Dije rodinado corazón nácar 19x20mm x und","7500","Dijes rodinados"
"RD0869D","Dije rodinado corazón nácar punto cristal circón plateado","10000","Amor y relaciones"
"RD0872D","Dije rodinado corazón ojo circón multicolor","6500","Dijes rodinados"
"RD0835D","Dije rodinado mano hamsa resina blanca ojo verde menta","1350","Nuevas colecciones"
"RD0834D","Dije rodinado mano hamsa resina blanca ojo azul rey","1350","Nuevas colecciones"
"RD0855D","Dije rodinado corazón cristal transparente","7000","Amor y relaciones"
"RD0857D","Dije rodinado flor cataleya verde 18.5x16mm x und","5000","Dijes rodinados"
"RD0859D","Dije Rodinado flor cataleya verde mente 18.5x16mm x und","5000","Dijes rodinados"
"RD0865D","Dije rodinado corazón destellos","5500","Dijes rodinados"
"RD0866D","Dije rodinado corazón con perlas","4000","Amor y relaciones"
"RD0864D","Dije rodinado círculo nácar corazón circón plateado","8500","Amor y relaciones"
"RD0910D","Dije rodinado corazón resina roja circón plateado","6500","Amor y relaciones"
"RD0911D","Dije rodinado corazón 27.5x16mm x und","5000","Amor y relaciones"
"RD0895D","Dije rodinado cola sirena con resina blanca","8000","Colecciones Pelgy"
"RD0907D","Dije Rodinado corazón cristal fucsia circón plateado","6500","Amor y relaciones"
"RM0026D","Medalla rodinado rectangular virgen de guadalupe","5000","Medallas |"
"RD0885D","Dije rodinado circulo ojo cristal verde circón plateado","6175","Dijes rodinados"
"RD0881D","Dije rodinado ojo verde menta pestañas multicolor","7500","Dijes rodinados"
"RD0883D","Dije rodinado ojo azul circón plateado","5500","Dijes rodinados"
"RD0884D","Dije rodinado ojo silueta circón multicolor","4500","Dijes rodinados"
"RD0891D","Dije rodinado ojo azul con pestañas circones plateados","6500","Dijes rodinados"
"RD0899D","Dije rodinado mano hamsa resina fucsia","3000","Nuevas colecciones"
"RD0901D","Dije rodinado mano hamsa resina verde menta","4000","Dijes rodinados"
"RD0913D","Dije rodinado mano hamsa cristal azul rey resina azul celeste","6500","Dijes rodinados"
"RD0878D","Dije rodinado corazón ojo azul pestañas","3375","Nuevas colecciones"
"RD0916D","Dije rodinado corazón alargado pequeño","5000","Dijes rodinados"
"RD0917D","Dije rodinado corazón 18x10mm x und","4500","Dijes rodinados"
"RD0890D","Dije Rodinado circulo blanco cruz 17.5x13mm x und","4000","Dijes rodinados"
"RM0023D","Medalla rodinada ovalada virgen guadalupe circón plateado","6500","Medallas |"
"RD0919D","Dije rodinado virgen guadalupe arco circón plateado","6000","Dijes"
"RM0014D","Medalla rodinada virgen de guadalupe resina blanca","5000","Medallas |"
"RM0016D","Medalla rodinada virgen guadalupe nácar circón plateado","7500","Medallas |"
"RC2000D","Cruz rodinado cristal verde esmeralda circón plateado","7500","Dijes rodinados"
"RD0906D","Dije rodinado candado corazón","5000","Amor y relaciones"
"RM0015D","Medalla rodinado san benito","5300","Medallas |"
"RC2003D","Cruz rodinado cristal verde menta circón plateado","11000","Dijes rodinados"
"ZD0954N","Dije zamak corazón con llamas resina negra 50x31mm","3000","Dijes de zamak"
"ZD0993D","Dije zamak corazón ojo resina (blanco-azul) 15.5x11mm x unid","1500","Dijes"
"ZD1000D","Dije zamak corazón 33x26mm x und","3300","Amor y relaciones"
"ZD1001D","Dije zamak circulo sol 15x12mm x unid","1200","Dijes"
"ZD0991D","Dije zamak corazón ojo verde 15.5x11mm x unid","1500","Dijes"
"ZD0992D","Dije zamak corazón ojo resina blanco-negro 15.5x11mm x unid","1500","Dije de resina"
"RD0959D","Dije rodinado ovalado ojo turco 16.5x50mm","3375","Nuevas colecciones"
"RD0976D","Dije rodinado ojo blanco con triángulos multicolor","2250","Nuevas colecciones"
"ZD0987D","Dije zamak rectángulo resina negra mano blanca 28x11mm x und","2000","Dijes"
"RC4013D","Crucero rodinado San Juan","6000","Dijes"
"RM0034D","Medalla rodinado San Juan de los lagos","6000","Medallas |"
"RD0986D","Dije covergold estrella 11.5x8.5mm x und","5000","Dijes"
"RD1004D","Dije covergold hongo","7000","Bases para aretes y collares"
"RD0997D","Dije covergold fresa pequeño","8000","Dijes"
"RD1000D","Dije covergold Granada 12.5x9.5mm x und","8000","Dijes"
"RD0998D","Dije covergold piña","8000","Dijes"
"RD1029D","Dije rodinado cereza en cristal fucsia","6000","Dijes"
"RD1043D","Dije rodinado kit de la fortuna","9000","Dijes"
"RD1038N","Dije covergold corazón inflado 15.5x13.5mm x unidad","3700","Amor y relaciones"
"RD1016D","Dije Covergold concha 16x 14.5mm x und","9000","Colecciones Pelgy"
"ZM0190N","Medalla zamak San Benito 13.7x12.5cm x unidad","30000","Medallas |"
"ZM0156N","Medalla zamak San Benito para tejer 30mm x und","1500","Medallas |"
"ZM0226N","Medalla zamak cuadrada 4 huecos san benito 12mm x 12 unds","3900","Medallas |"
"ZM0220N","Medalla zamak virgen milagrosa 25x15.5mm x 6 und","2250","Medallas |"
"ZM0227N","Medalla zamak rectángulo Virgen de Guadalupe 18x14mm paquete x 6 unidades","2700","Medallas |"
"ZM0228N","Medalla zamak san miguel arcángel 32mm x und","1500","Medallas |"
"ZC4174N","Crucero zamak resina Virgen de Carmen 18x30mm paquete x 3 unid","2400","Dijes"
"ZC4173N","Crucero zamak resina Divino Niño 18x30mm paquete x 3 unid","2400","Dijes"
"ZM0147N","Medalla zamak ovalada virgen guadalupe 25x18mm x6 und","2250","Medallas |"
"ZM0223N","Medallas zamak san benito para tejer 28mm paquete x 6 unids","3600","Medallas |"
"RD054C5","Dije resina corazón fuego 30x20 mm x und","5800","Amor y relaciones"
"AD0316D","Dije acero corazón resina blanca ojo verde menta x unid","6000","Dijes de acero"
"AM0211D","Medalla acero ovalada virgen guadalupe x unid","6000","Medallas |"
"RC4010D","Crucero rodinado san benito circón plateado","6000","Dijes"
"RM0025D","Medalla rodinada escapulario san benito","4500","Medallas |"
"ZC2073D","Cruz zamak cristo relieve x und","1300","Dijes"
"ZD0374D","Dije zamak cola de sirena 17x21mm x 2 unid","3600","Dijes"
"ZD0937D","Dije zamak estrella filigrana 16x20mm x unidad","1500","Dijes"
"ZD0964D","Dije zamak Astronauta 19x11mm x unidad","1600","Dijes"
"ZD1026D","Dije zamak circulo sol luna estrella 20x15.5mm x und","1700","Dijes de zamak"
"ZD1030D","Dije zamak corazón con alas y llamas 30.5x33.5mm x unidad","2300","Dijes"
"ZD0111D","Dije zamak timón mini 9mm paquete x 3 unds","3900","Dijes"
"ZD0494D","Dije zamak avión 22x28mm x unidad","1800","Dijes"
"RD055C4","Dije resina corazon rosado herencia del alma 38x33mm unidad","6000","Amor y relaciones"
"RD056C8","Dije resina corazón verde menta herencia del alma 39x30mm x unidad","6000","Amor y relaciones"
"RD0274D","Dije corazón para mamá","6500","Amor y relaciones"
"RD0317D","Dije rodinado para mamá en forma de corazón","5500","Amor y relaciones"
"RD0316D","Dije mamá rodinado con circón plateado","6500","Dijes"
"RD0882D","Dije rodinado redondo ojo azul","6000","Dijes rodinados"
"RD0939D","Dije rodinado corazón circón plateado","4500","Amor y relaciones"
"RD0886D","Dije rodinado circulo ojo cristal","6000","Dijes rodinados"
"ZD0374N","Dije zamak cola de sirena 17x21mm x 12unds","2700","Colecciones Pelgy"
"ZD0486N","Dije zamak corazon alargado ojo turco 23x11mm x 12unds","2900","Dijes"
"ZD0917N","Dije zamak ancla 15x23mm x 12unds","3200","Colecciones Pelgy"
"ZD1021N","Dije zamak redondo sol medio rostro 23x19mm x 6unid","2100","Dijes"
"ZD1022N","Dije zamak relieve rostro sol y luna 23x20mm x 6unds","2100","Dijes"
"ZD1023N","Dije zamak ojo turco pestañas 9 puntas 17x20mm x 12unds","3000","Dijes"
"ZD1025N","Dije zamak circulo Sol luna y estrellas 20x15.5mm x 12unds","2600","Dijes"
"ZD1027N","Dije zamak corazón llamas borde perforado 28.5x20mm x 6unds","2400","Dijes"
"ZD1030N","Dije zamak corazon con alas y llamas 30.5x33.5mm x 3unds","2700","Dijes"
"ZD1033N","Dije zamak corazón inflado macizo 11.5x15.5mm x 6unds","2250","Amor y relaciones"
"ZD1038N","Dije zamak corazón con corona y destellos 39x34mm x 3unds","3600","Dijes"
"ZD1042N","Dije zamak corazón con ojo turco y rosa 38x29mm x 3unds","3600","Dijes"
"ZD1043N","Dije zamak silueta Flor de loto x 15x17mm x 12unds","1500","Dijes"
"RC2000C7","Cruz resina café corazón fucsia 51x36mm","6200","Dijes"
"RD1052D","Dije cover gold palmera Caribeña dorada 17x8mm","3100","Colecciones Pelgy"
"RD1059D","Dije cover gold caracol abierto dorado 17x16mm","5100","Colecciones Pelgy"
"RD0958D","Dije rodinado ojo 17.5 x 18mm x und","2100","Nuevas colecciones"
"RD0957D","Dije rodinado ojo 17.5x18mm x und","2100","Nuevas colecciones"
"RD0963D","Dije rodinado corazón 15x12mm x und","2000","Amor y relaciones"
"RD0933D","Dije rodinado corazón relicario 27x17mm x und","10500","Dijes"
"RD057-2","Dije Virgen del Rosario en resina 30x22mm con borde dorado","6000","Dijes"
"RD0931D","Dije rodinado corazón relicario 27x17mm x und","10500","Dijes"
"RD0932D","Dije rodinado corazón relicario 27x17mm x und","10500","Dijes"
"RD0930D","Dije rodinado corazón relicario 27x17mm x und","10500","Dijes"
"RD0929D","Dije rodinado corazón relicario 27x17mm x und","10500","Dijes"
"RD0903D","Dije rodinado mano hamsa 13x9mm x und","4000","Dijes"
"RD0965D","Dije rodinado ojo 14x13mm x und","2100","Nuevas colecciones"
"RD0967D","Dije rodinado ojo 14x13mm x und","2100","Nuevas colecciones"
"RD0964D","Dije rodinado ojo 14x13mm x und","2100","Nuevas colecciones"
"RD0974D","Dije rodinado ojo 17x15mm x und","2800","Dijes"
"RD0971D","Dije rodinado ojo 17x15mm x und","2100","Nuevas colecciones"
"RD0845D","Dije rodinado ojo 19.5x32mm x und","2100","Nuevas colecciones"
"RD0844D","Dije rodinado ojo 19.5x32mm x und","2100","Nuevas colecciones"
"RD0843D","Dije rodinado ojo 19.5x32mm x und","2100","Nuevas colecciones"
"RD0924D","Dije rodinado ojo 20x15mm x und","7500","Dijes"
"RD0943D","Dije rodinado margarita 19x16mm x und","2500","Dijes"
"RD0946D","Dije rodinado sol y luna 19x16mm x und","2800","Dijes"
"RC0587D","Centro pulsera rodinado mano hamsa 20x20mm x und","2000","Dijes"
"RC0590D","Centro pulsera rodinado mano hamsa 20x20mm x und","2000","Dijes"
"RC0588D","Centro pulsera rodinado mano hamsa 20x20mm x und","2000","Dijes"
"RC0589D","Centro pulsera rodinado mano hamsa 20x20mm x und","2000","Dijes"
"RC0592D","Centro pulsera rodinado ojo 20x17mm x und","2000","Dijes"
"RD0925D","Dije rodinado ojo 20x15mm x und","7500","Dijes"
"RD1010D","Dije covergold estrella de mar 22x20mm x und","6000","Dijes"
"RD1006D","Dije covergold concha 14x13.5mm x und","6000","Dijes"
"RD1008D","Dije covergold concha 14x13.5mm x und","6000","Dijes"
"RD1005D","Dije covergold concha 14x13.5mm x und","6000","Dijes"
"RD1007D","Dije covergold concha 14x13.5mm x und","6000","Dijes"
"RD1013D","Dije covergold pez 17mm x und","6000","Dijes"
"RD1015D","Dije covergold pez 17mm x und","6000","Dijes"
"RD1014D","Dije covergold pez 17mm x und","6000","Dijes"
"RD1019D","Dije covergold melón 18 x 6.5mm x und","7000","Dijes"
"ZD0961D","Dije corazón rojo con marco de color dorado en zamak 34x26mm","4500","Amor y relaciones"
"RD0569D","Dije covergold estrella x und","5700","Dijes"
"RD0570D","Dije covergold estrella x und","5700","Dijes"
"RD0508D","Dije rodinado estrella circón verde x und","5200","Dijes"
"RD0509D","Dije rodinado estrella circón rosa x und","5200","Dijes"
"RD0510D","Dije rodinado estrella circón azul x und","5200","Dijes"
"RD0511D","Dije rodinado estrella circón negro x und","5200","Dijes"
"RD0513D","Dije rodinado estrella circón lila x und","5200","Dijes"
"RM0039D","Medalla rodinada escudo san benito lila x und","3300","Medallas |"
"RM038D","Medalla rodinada escudo san benito verde x und","3300","Medallas |"
"RD0220D","Dije rodinado virgen guadalupe x und","4700","Nuevas colecciones"
"RD1066D","Dije covergold mariquita 19x16mm x und","6500","Nuevas colecciones"
"RD1069D","Dije rodinado corazón alas 15x16mm x und","5100","Amor y relaciones"
"RD1067D","Dije rodinado escorpión 16x10mm x und","4800","Nuevas colecciones"
"RD1063D","Dije covergold niña 15x10.5mm x und","3100","Nuevas colecciones"
"RD1062D","Dije covergold niño 15x8mm x und","3100","Amor y relaciones"
"ZD1029N","Dije zamak corazón 58x34mm x und","2000","Amor y relaciones"
"ZD1004D","Dije zamak corazon grabado fuego 25x14mm x und","3000","Amor y relaciones"
"ZM0074N","Medalla zamak virgen del carmen 44x29mm x und","2300","Medallas |"
"ZD1006D","Dije zamak corazón azul fuego 32x19mm x und","3100","Amor y relaciones"
"ZD1008D","Dije zamak corazón rosa fuego 32x19mm x und","3100","Amor y relaciones"
"ZM0115N","Medalla zamak san miguel 44x29mm x und","2300","Medallas |"
"ZD1007D","Dije zamak corazon negro fuego 32x19mm x und","3100","Amor y relaciones"
"ZD1015D","Dije zamak corazon blanco puntos 19x19mm x und","3000","Amor y relaciones"
"ZM0097N","Medalla zamak virgen guadalupe 14x26mm x 3und","3000","Medallas |"
"ZD1013D","Dije zamak corazon negro puntos 19x19mm x und","3000","Amor y relaciones"
"ZD1012D","Dije zamak corazon verde aguamarina 19x19mm x und","3000","Amor y relaciones"
"RD1053D","Dije Covergold passport avión mini 10x7.5mm x und","3100","Dijes"
"ZD0996D","Dije zamak corazon rojo puntos 16x14mm x und","2700","Amor y relaciones"
"ZD0997D","Dije zamak corazon relieve puntos 196x14mm x und","2300","Amor y relaciones"
"ZD1037N","Dije zamak ojo 15.5x13.5mm x 12und","2400","Dijes"
"ZD1044N","Dije zamak media luna 20x16mm x 12und","2400","Dijes"
"ZM0225N","Medalla zamak virgen niño jesús 14x11.5mm x 12und","3900","Medallas |"
"ZD0943N","Dije zamak cola de sirena 19x22mm x 12und","3600","Dijes"
"RM0031D","Medalla rodinada san judas tadeo 21x18mm x und","2800","Medallas |"
"RM0033D","Medalla rodinada san judas tadeo 21x18mm x und","2800","Medallas |"
"RM0032D","Medalla rodinada san judas tadeo 21x18mm x und","2800","Medallas |"
"RD1089D","Dije covergold mariquita 19x16mm x und","5800","Dijes"
"RD1091D","Dije covergold concha 12x14.5mm x und","7600","Dijes"
"RD1075D","Dije rodinado corazón 21x20mm x und","8500","Amor y relaciones"
"RD1073D","Dije covergold ángel de mi guarda 37.5x19mm x und","6100","Dijes"
"RD1076D","Dije covergold mariquita 15.5x12mm x und","5600","Dijes"
"RD1101D","Dije rodinado silueta corazones 22x20mm x und","8600","Amor y relaciones"
"RD1083D","Dije covergold palma 19.5x12mm x und","4500","Dijes"
"RD1086D","Dije covergold delfín 19x16mm x und","5100","Dijes"
"RD1095D","Dije covergold arcángel gabriel 37x20.5mm x und","5100","Dijes"
"RD1097D","Dije rodinado virgen 37.5x26mm x und","7100","Dijes"
"RD1074D","Dije rodinado virgen 24.5x17mm x und","6000","Dijes"
"RM0044D","Medalla covergold virgen 25x17mm x und","5000","Medallas |"
"RD1099D","Dije covergold virgen 38x33mm x und","6000","Dijes"
"RM0047D","Medalla covergold san judas tadeo 30.5x21mm x und","5500","Medallas |"
"RD1098D","Dije rodinado circulo de la fortuna 34x32mm x und","10000","Dijes"
"RD1093D","Dije rodinado corazón 11x8mm x und","3500","Dijes"
"RD0847D","Dije rodinado ojo 36x32.5mm x und","3500","Dijes"
"RD059C5","Dije resina cangrejo 34x40mm x und","5500","Colecciones Pelgy"
"RD060C5","Dije resina langosta 49.5x27mm x und","5500","Colecciones Pelgy"
"RS026C15","Separador resina cuadrado 23mm x und","6000","Colecciones Pelgy"
"ZD1072D","Dije zamak arcángel 19x11.5mm x und","2500","Colecciones Pelgy"
"ZD1069D","Dije zamak arcángel 19x11.5mm x und","2500","Colecciones Pelgy"
"ZD1071D","Dije zamak arcángel 19x11.5mm x und","2500","Colecciones Pelgy"
"ZD1068D","Dije zamak arcangel 19x11.5mm x und","2500","Colecciones Pelgy"
"ZD1067D","Dije zamak corazón 19x11.5mm x und","2700","Colecciones Pelgy"
"ZD1055D","Dije zamak trébol 19x11.5mm x und","2700","Colecciones Pelgy"
"ZD1056D","Dije zamak trébol 19x11.5mm x und","2700","Colecciones Pelgy"
"ZD1058D","Dije zamak trébol 19x11.5mm x und","2500","Colecciones Pelgy"
"RD1114D","Dije covergold coral 12x6mm x und","4000","Colecciones Pelgy"
"ZD1075D","Dije zamak espíritu santo 19x 11.5mm x und","2500","Colecciones Pelgy"
"ZD1085D","Dije zamak frase dios 19x11.5mm x und","2500","Colecciones Pelgy"
"RM0049D","Medalla covergold virgen 37x33mm x und","6000","Medallas |"
"RD1122D","Dije covergold corazón 22x14.5mm x und","5000","Dijes cover gold"
"RD1121D","Dije covergold corazón 22x14.5mm x und","5000","Dijes cover gold"
"RD1113D","Dije covergold coral 23x11mm x und","3700","Dijes cover gold"
"RD1120D","Dije covergold corazón 14x12mm x und","5000","Dijes cover gold"
"RD1112D","Dije covergold hongo resina roja 9x8mm x und","6600","Nueva Importación"
"RD1110D","Dije covergold hongo resina roja puntos dorados 16.5x10mm x und","5500","Nueva Importación"
"RD1117D","Dije covergold estrella resina azul 14.5mmx11mm","5200","Dijes"
"RD1109D","Dije covergold hongo plano resina roja 20x17mm x und","6300","Dijes"
"RD1108D","Dije rodinado huella 15x10mm x und","5200","Nueva Importación"
"RD1111D","Dije pandora covergold hongo resina roja 13x9mm x und","6600","Nueva Importación"
"RD1135D","Dije covergold caracol perla 21x10mm x und","5700","Dijes"
"RD1136D","Dije covergold gato 11x9mm x und","6500","Nueva Importación"
"RD1132D","Dije covergold huella 18x14mm x und","4800","Nueva Importación"
"RD1130D","Dije covergold luna 21x10mm x und","5700","Nueva Importación"
"RD1128D","Dije covergold redondo blanco estrella dorada 16x14.5mm x und","4800","Nueva Importación"
"RD1126D","Dije covergold carita feliz 16x13mm x und","7100","Nueva Importación"
"RD1134D","Dije rodinado elefante 14.5x22mm x und","7700","Nueva Importación"
"RD1138D","Dije rodinado trébol 20x17mm x und","9100","Nueva Importación"
"RD1127D","Dije covergold circular azul estrella de mar dorada 16x14.5mm x und","4800","Nueva Importación"
"RD1129D","Dije covergold circular azul caballito dorado 16x14.5mm x und","4800","Nueva Importación"
"ZD0723D","Dije zamak resina rosa estrella cardinal 17x15mm x und","2500","Dijes"
"ZD0789D","Dije zamak redondo estrella cardinal 17x15mm x und","2500","Dijes"
"ZD0791D","Dije zamak redondo estrella cardinal 17x15mm x und","2500","Dijes"
"ZD1019D","Dije corazón grabado resina negra 16x12mm x und","2000","Dijes"
"ZD1005D","Dije zamak corazon fuego resina negra 25x14mm x und","2200","Dijes"
"ZD0241D","Dije zamak amuleto 11:11 resina negra 16mm x und","3000","Dijes"
"ZD0891D","Dije zamak corazon resina negro 12.5x11mm x und","2800","Dijes"
"ZD0969D","Dije zamak ojo turco puntos 26x20mm x und","2800","Dijes"
"ZD0968D","Dije zamak ojo turco puntos resina negra 26x20mm x und","2800","Dijes"
"ZD0967D","Dije zamak ojo turco puntos resina verde 26x20mm x und","2800","Dijes"
"8043-2D","Dije zamak mano de la fortuna resina negra 41x28mm x und","5200","Dijes"
"ZD0466D","Dije zamak circulo corazon dorado destello resina blanca 22x19mm x und","3700","Amor y relaciones"
"ZD0614D","Dije zamak circulo ojo pestaña resina roja 19x23mm x und","3200","Dijes"
"ZD0613D","Dije zamak circulo ojo pestaña resina verde aguamarina 19x23mm x und","3200","Dijes"
"ZD0615D","Dije zamak ojo pestaña resina verde menta 19x23mm x und","3200","Dijes"
"ZD0585D","Dije zamak circulo FÉ resina menta 18x20mm x und","3000","Dijes"
"ZD1051D","Dije zamak circulo ojo pestaña resina negra 19x22.5mm x und","3200","Dijes"
"ZD0972D","Dije zamak corazón resina negra ojo rojo 27x24mm x und","3200","Dijes"
"ZD0971D","Dije zamak corazón blanco ojo blanco azul 27x24.5mm x und","3200","Dijes"
"ZD0780D","Dije zamak circular luna resina fucsia 19x14m x und","2500","Dijes"
"ZD0779D","Dije zamak circulo luna resina roja 19x14mm x und","2500","Dijes"
"ZD0783D","Dije zamak circular luna resina beige 19x14mm x und","2500","Dijes"
"ZD0784D","Dije zamak circular luna resina naranja 19x14mm x und","2500","Dijes"
"ZD1050D","Dije zamak circulo DIOS resina negra 16x20mm x und","3000","Dijes"
"RD1123D","Dije covergold corazón 22x14.5mm x und","5000","Amor y relaciones"
"RD1144D","Dije rodinado girasol 19mm x und","5500","Nueva Importación"
"VD10C1","Dije vidrio cactus 37x29mm x und","4000","Nueva Importación"
"VD10C36","Dije vidrio cactus 37x29mm x und","4000","Nueva Importación"
"VD14C5","Dije vidrio mariquita 27x19mm x und","4000","Nueva Importación"
"VD13C4","Dije vidrio fresa 25x13mm x und","3800","Nueva Importación"
"RD1165D","Dije covergold placa sol 24x12mm x und","5000","Nueva Importación"
"RD1146D","Dije covergold hongo 14x15.5mm x und","6000","Nueva Importación"
"RD1150D","Dije covergold dólar 19x11m x und","6800","Nueva Importación"
"RD1151D","Dije covergold 100 dólares mini 13x6mm x und","5000","Nueva Importación"
"RM0058D","Medalla rodinado san benito circón plateado 22x19mm x und","6500","Medallas |"
"RM0059D","Medalla rodinada ovalada virgen milagrosa circón plateado 24x17mm x und","5600","Medallas |"
"RD1166D","Dije covergold placa luna 27x14mm x und","5000","Nueva Importación"
"RD1164D","Dije corazon covergold candado nácar 22x16mm x und","7700","Amor y relaciones"
"RD1158D","Dije rodinado trébol circón plateado resina verde 12mm x und1","6800","Nueva Importación"
"RD1148D","Dije covergold hongo verde 14x15.5mm x und","6000","Nueva Importación"
"RD1155D","Dije redondo covergold resina morada corazon grabado 13x11mm x und","5000","Amor y relaciones"
"RD1173D","Dije rodinado cangrejo 16x22mm x und","9000","Nueva Importación"
"RD1154D","Dije covergold corazón 16x11mm x und","5000","Amor y relaciones"
"RD1162D","Dije covergold circular resina pelada caracol dorado 13x15.5mm x und","5000","Dijes"
"RD1163D","Dije covergold mariquita resina roja y negra 12x10mm x und","5900","Dijes"
"RD1161D","Dije covergold caballito de mar 16x14.5mm x und","4800","Nueva Importación"
"RD1169D","Dije covergold estrella 14.5x11mm x und","5200","Nueva Importación"
"RD1156D","Dije covergold corazón 13x10mm x und","5000","Amor y relaciones"
"RD1168D","Dije covergold estrella 14.5x11mm x und","5200","Nueva Importación"
"RD1153D","Dije covergold corazón 12x12mm x und","5000","Amor y relaciones"
"RD051C86","Dije resina Corazón alargado Fucsia 25x51mm x und","6000","Amor y relaciones"
"RD064C5","Dije acrílico pez payaso 49x22mm x und","7500","Dije de resina"
"ZD0654D","Dije zamak corazón 20x22mm x und","3700","Amor y relaciones"
"ZD0569D","Dije zamak dios 16x19mm x und","3500","Dijes de zamak"
"ZD0625D","Dije zamak ojo 15x18mm x und","3000","Dijes"
"ZD0624D","Dije zamak ojo 15x18mm x und","3000","Dijes"
"RD047C1","Dije resina mano hamsa blanca transparente bordes dorado 20x29mm x und","3500","Dije de resina"
"VD05C13","Dije vidrio pepino verde 38x12mm x und","1200","Dijes"
"VD03C2","Dije vidrio piña 20x11 x2 und","1600","Dijes"
"VD07C1","Dije vidrio habo chino blanco 30x23mm x2 und","2400","Dijes"
"VD06C1","Dije vidrio ajo blanco 18x18mm x und","1200","Dijes"
"3603MX","Dije azabache lagrima mixta 6x11mm x12 und","3500","Dijes"
"RD067C7","Dije resina gato de tejada x und","5300","Colecciones Pelgy"
"RD0070D","Dije rodinado pandora trio avión, pasaporte, corazón x und","10000","Nueva Importación"
"RD0304D","Dije covergold cangrejo con porta dije 17x15mm x und","3500","Nueva Importación"
"RD0173D","Dije covergold concha estriada perla blanca 17x15mm x und","5000","Nueva Importación"
"RD0307D","Dije covergold redondo blanco centro concha de mar 17x15mm","5500","Nueva Importación"
"ZD1098D","Dije zamak corazón ojo 26x12mm x und","2700","Amor y relaciones"
"ZD1092D","Dije zamak ojo 26x12mm x und","2500","Nueva Importación"
"RD0097D","Dije covergold bota vaquera 24x17mm x und","4500","Nueva Importación"
"RD0150D","Dije rodinado flor trébol circón plateado hojas verdes perla 20x13mm x und","6500","Nueva Importación"
"RD0387D","Dije covergold caracol 16x6mm x und","3500","Nueva Importación"
"RD0012D","Dije covergold chile 19x5mm x und","6000","Nueva Importación"
"RD0310D","Dije rodinado margarita amarilla hojas verdes 17x8mm x und","4500","Nueva Importación"
"RD0306D","Dije covergold concha de mar pintura blanca 16mm x und","4500","Nueva Importación"
"RD0069D","Dije rodinado pandora trébol herradura x und","10000","Nueva Importación"
"ZD1091D","Dije zamak ojo 26x12mm x und","2500","Nueva Importación"
"RD0360D","Dije covergold concha de mar rosada perla 15x12.5mm x und","4500","Nueva Importación"
"RD0414D","Dije covergold concha de mar pintura azul 16mm x und","4500","Nueva Importación"
